age,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,joining_day,joining_month,joining_year,last_visit_time_hour,last_visit_time_minutes,last_visit_time_seconds,gender_M,gender_Unknown,region_category_Town,region_category_Village,membership_category_Gold Membership,membership_category_No Membership,membership_category_Platinum Membership,membership_category_Premium Membership,membership_category_Silver Membership,joined_through_referral_No,joined_through_referral_Yes,preferred_offer_types_Gift Vouchers/Coupons,preferred_offer_types_Without Offers,medium_of_operation_Both,medium_of_operation_Desktop,medium_of_operation_Smartphone,internet_option_Mobile_Data,internet_option_Wi-Fi,used_special_discount_Yes,offer_application_preference_Yes,past_complaint_Yes,feedback_Poor Customer Service,feedback_Poor Product Quality,feedback_Poor Website,feedback_Products always in Stock,feedback_Quality Customer Care,feedback_Reasonable Price,feedback_Too many ads,feedback_User Friendly Website
56,105,22.650741298481933,306.6923975798756,400.27849566189485,27,6,2021,4,0,36,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
48,81,3.6522568594319806,210.56428280174723,192.11070668199747,20,1,2019,21,49,30,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1
77,180,26.991462216510417,824.737995277476,393.4479736088708,15,4,2015,15,1,38,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0
21,186,1.0690232180766168,28.27607849886048,423.5915863077344,27,10,2023,15,47,57,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0
77,29,49.60395091621258,884.0793322961491,259.50321482524527,14,8,2017,10,6,18,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0
69,183,57.959083750543726,561.866636318792,22.3964624044537,24,3,2016,7,53,13,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1
39,352,82.13111487058842,665.9406002395203,377.7227657742146,30,11,2019,23,15,22,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
69,253,62.89549666415407,496.5831483749405,465.80909953776074,24,5,2019,19,2,41,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0
48,173,79.45051923000855,202.65628688504387,360.3713474412509,14,7,2019,2,43,48,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
76,238,23.447551067299617,470.8360804733138,252.49393105460632,12,10,2023,8,10,15,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0
50,4,44.34152539874958,50.642950043337635,492.74939560142315,5,11,2017,15,36,22,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0
29,214,97.75049752683843,260.17929812653193,379.6305970524801,13,8,2017,10,53,24,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
20,190,13.73260507999971,900.7716664433435,25.779488022830698,11,3,2016,10,34,58,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1
25,170,63.85763575319553,803.3025422955776,91.53828848749762,15,4,2023,22,40,7,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0
62,72,14.948268046854798,529.1481538296922,160.85465325654928,24,6,2017,2,36,39,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1
33,344,79.71328502238038,295.29280947884325,456.5563111264012,12,4,2017,21,24,49,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1
63,332,50.415416947341825,662.023525543731,2.7015760953471024,20,5,2019,23,17,16,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0
54,14,98.76168290516958,717.9825551132321,0.8286220756174578,15,6,2021,22,50,48,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
44,312,29.05583678082488,380.4873505148326,159.07909633306687,21,4,2017,20,43,21,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0
74,203,95.91806526250863,751.3846005184661,351.8843830994555,14,5,2018,8,30,56,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
58,198,64.61464407937879,206.796610794404,289.53187648142506,6,10,2018,23,2,36,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0
56,323,27.61225151487898,153.51947508789365,378.8242631726561,22,3,2015,23,48,41,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1
67,272,80.8898293536797,760.0196085536239,331.11128335675266,26,6,2017,15,20,14,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1
49,64,33.26765359737934,337.6685344463609,2.5691230998051706,4,10,2017,14,15,6,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0
50,348,91.49244516093388,656.612709985143,463.2229991932439,6,12,2022,19,51,43,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0
36,199,78.16133938803414,566.6143415161009,204.651559675375,12,8,2015,3,53,21,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0
57,128,97.85871381777166,584.2784385693724,276.9002208460055,3,5,2022,17,21,18,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1
48,351,98.31436146163296,751.7270152653099,152.66868965871032,13,11,2020,11,40,26,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1
79,76,87.66240186932792,50.507342237258825,166.64837267481752,8,3,2019,15,13,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0
66,23,94.49037697568191,426.1422601746586,5.051125826840808,30,8,2015,14,35,57,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1
54,183,73.5614485864443,211.63024875491294,312.9515093258582,19,10,2016,14,20,12,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
50,160,12.738382186325033,973.3986591756377,481.1112331467408,27,8,2023,7,55,31,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1
37,358,76.59842855144657,788.6781796230599,156.23315364936906,17,4,2020,3,53,47,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1
31,16,39.31501346779803,733.5963274893919,458.577054551911,20,12,2020,15,19,44,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1
64,83,97.2123886412856,855.7531917636489,279.5876834138925,25,7,2023,16,18,50,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
54,162,40.11844638596553,21.73303996478434,291.38199559318826,29,6,2021,21,25,11,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0
62,6,17.300234790844982,329.59954504884837,9.851629686675468,16,6,2016,1,59,52,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1
41,47,37.480928892356644,615.5192581228276,32.35439385641015,23,2,2022,9,47,21,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0
71,277,30.230222379032316,191.2758019740153,3.9930144046288474,1,6,2021,23,58,31,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1
19,169,38.70371310284581,541.6723082480319,174.19579454892246,28,9,2019,4,45,17,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
69,132,39.860847566378354,299.0302214476117,232.59403674546238,21,2,2024,10,22,44,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0
22,180,96.65263248137892,600.6344054288089,396.3787002955367,16,4,2022,4,29,21,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1
53,19,30.568932353550924,714.1119753949429,167.91426320522456,9,5,2017,8,1,20,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0
29,250,86.81796216274391,538.7768663214466,219.06759919961587,6,5,2020,16,48,18,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0
73,31,5.471420148495962,384.88779860287616,369.6351480755619,30,1,2023,10,13,45,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0
32,164,75.04251869833271,914.0247032376802,226.75515498978766,21,10,2020,2,8,41,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0
62,324,29.753923618670672,203.2306238687845,222.23590248700125,6,5,2017,10,59,15,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
56,14,89.34570431434827,501.7066197358636,28.695882543937955,2,2,2022,4,16,2,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1
21,157,36.790824096313784,966.4344933521292,92.73302836045289,3,7,2021,17,59,10,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0
54,65,12.38895680432455,295.5870045878202,0.07141330149013081,9,9,2017,5,51,21,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1
55,268,11.647839481752468,547.7342877955336,36.74628908323341,15,7,2018,13,2,19,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1
37,6,67.8591551086978,228.96208720296255,458.00572699612195,12,2,2020,3,24,29,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
73,60,82.03000177770195,265.0072885084245,392.3600516903253,22,9,2024,3,57,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1
67,130,79.92859943841903,451.68762883883574,494.0141572370348,7,5,2018,14,56,5,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1
79,44,56.421856596417115,867.1392904799344,126.05971664936789,12,12,2022,10,1,42,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0
78,249,94.03661985667192,804.923525310499,332.0884802349528,15,6,2018,17,18,41,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1
31,203,61.35599950901569,773.9291207299169,257.4071344543804,17,5,2016,22,29,40,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1
29,233,40.3190512449235,693.886038868706,15.321855735469514,16,9,2021,15,52,54,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1
61,357,27.328787602535275,600.2506039943236,100.53573549530176,24,9,2024,16,35,21,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0
28,73,57.06602442040175,12.622439765144561,322.2455018757013,6,7,2020,4,52,19,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0
75,57,25.58843983710343,224.63409835474823,337.04776150948686,15,12,2015,17,2,49,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
62,228,22.805177911247366,174.43759417695352,489.13853715919595,17,8,2015,7,8,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0
25,224,44.648858099987855,985.5408359515244,105.6626989164619,13,9,2015,21,25,3,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1
23,23,29.366126800099238,600.0343949245688,140.92497350070548,2,5,2020,1,51,52,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0
20,43,33.18603761537726,756.650081249027,65.5848402147109,27,1,2020,12,52,2,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1
56,180,97.79373651984945,628.9511311013033,302.91611842965176,16,2,2015,23,36,36,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0
50,296,97.14645182846158,341.5685973417295,296.3583896841092,31,2,2022,3,1,25,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1
49,335,9.867754141329398,94.95183273914982,140.9735895074381,1,5,2015,19,3,32,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1
78,204,5.248709986945551,137.9901784598021,95.39998652570453,14,12,2017,12,7,17,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1
48,315,49.47950033223836,592.393604824658,197.57491467195325,10,10,2018,10,27,16,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0
47,63,29.515636694986043,983.777146492294,118.6291824185085,28,10,2020,13,28,24,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
29,241,99.96400992385342,892.9508400701577,327.98299702535036,24,11,2024,23,54,41,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0
77,190,8.137130064215397,479.82747460234094,242.5007033460962,24,6,2020,11,3,43,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0
54,64,41.984204752053735,268.04541063292635,147.80205439815336,7,10,2019,1,5,2,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1
71,190,31.788982495809886,173.76122070596128,228.54973705926412,28,6,2017,8,47,24,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0
52,315,66.11195566129224,330.87231597065784,168.97190660220258,26,8,2024,23,17,36,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
